Season,Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
2022/23,19,Leeds,38,7,10,21,48.0,78.0,-30.0,31
2022/23,20,Southampton,38,6,7,25,36.0,73.0,-37.0,25
2023/24,1,Man City,38,28,7,3,96.0,34.0,62.0,91
2023/24,2,Arsenal,38,28,5,5,91.0,29.0,62.0,89
2023/24,3,Liverpool,38,24,10,4,86.0,41.0,45.0,82
2023/24,4,Aston Villa,38,20,8,10,76.0,61.0,15.0,68
2023/24,5,Tottenham,38,20,6,12,74.0,61.0,13.0,66
2023/24,6,Chelsea,38,18,9,11,77.0,63.0,14.0,63
2023/24,7,Newcastle,38,18,6,14,85.0,62.0,23.0,60
2023/24,8,Man United,38,18,6,14,57.0,58.0,-1.0,60
2023/24,9,West Ham,38,14,10,14,60.0,74.0,-14.0,52
2023/24,10,Crystal Palace,38,13,10,15,57.0,58.0,-1.0,49
2023/24,11,Brighton,38,12,12,14,55.0,62.0,-7.0,48
2023/24,12,Everton,38,13,9,16,40.0,51.0,-11.0,48
2023/24,13,Bournemouth,38,13,9,16,54.0,67.0,-13.0,48
2023/24,14,Fulham,38,13,8,17,55.0,61.0,-6.0,47
2023/24,15,Wolves,38,13,7,18,50.0,65.0,-15.0,46
2023/24,16,Brentford,38,10,9,19,56.0,65.0,-9.0,39
2023/24,17,Nott'm Forest,38,9,9,20,49.0,67.0,-18.0,36
2023/24,18,Luton,38,6,8,24,52.0,85.0,-33.0,26
2023/24,19,Burnley,38,5,9,24,41.0,78.0,-37.0,24
2023/24,20,Sheffield United,38,3,7,28,35.0,104.0,-69.0,16
